Category,Title,Description,Full Text
Jamiyat,O‘zbekistonda onkologik kasallikka chalingan ayollar bepul davolanadi — yangi qaror,Tashxislash va davolash xarajatlari budjet hisobidan moliyalashtiriladi.,"O‘zbekistonda onkologik kasallikka chalingan ayollar bepul davolanadi. Bu haqda prezident tomonidan qabul qilingan tegishli qarorda nazarda tutilgan.Prezident “Ayollar orasida onkologik kasalliklarni nazorat qilish tizimini takomillashtirish chora-tadbirlari to‘g‘risida”gi qarorni imzoladi.Hujjatga ko‘ra, tibbiyotning birlamchi bo‘g‘inida 30–65 yoshdagi ayollarning elektron bazasi (ro‘yxati) shakllantiriladi, ularni tibbiy ko‘rikka taklif qilish tizimi yaratiladi.Har yili 30–50 yoshdagi ayollarda bachadon bo‘yni saratoni skriningi odam papillomasi virusini polimeraza zanjirli reaksiya tekshiruvi usuli orqali aniqlash hamda suyuqlik sitologiyasi usulida tekshirish yo‘li bilan amalga oshiriladi.30–65 yoshdagi ayollar har 2-yilda bir marotaba tibbiyot xodimlari tomonidan birlamchi saralashdan o‘tkaziladi.“Skrining natijasida onkologik kasallikka chalinganligi aniqlangan bemorlarni tashxislash va davolash bilan bog‘liq xarajatlar budjet hisobidan moliyalashtiriladi”, — deyiladi hujjat matnida.2025 yil 1-yanvardan boshlab:onkonazorat xonalari uchun akusher-ginekolog shifokor hamda mobil va statsionar mammograflar ishini 2 ta smenada tashkil etish uchun rentgen-laborantlar shtatlari joriy etiladi; Mammografiya tasvirini o‘qish markazi tashkil etiladi; odam papilloma virusi diagnostikasi uchun qo‘llanadigan test tizimlari sifatini nazorat qilish bo‘yicha referens-laboratoriya faoliyati yo‘lga qo‘yiladi; bachadon bo‘yni va ko‘krak bezi saratoni skriningiga nodavlat tibbiyot tashkilotlari jalb qilinadi.2025 yil 1-mayga qadar esa, bachadon bo‘yni saratoni skriningi va ko‘krak bezi saratonini erta aniqlash sifatini baholash va monitoring qilib borish tizimi, skrining dasturiga kiritilgan ayollar bilan qayta aloqa qilish tizimi joriy etiladi."
Matbuot markazi,Anons: Rossiya-O‘zbekiston o‘rtasidagi ta’lim va madaniy dasturlar muhokama etiladi,Anjuman mehmoni Rossiya-O‘zbekiston hamkorligi istiqbollari haqida so‘z yuritadi.,"Sputnik O‘zbekiston matbuot markazida 27-noyabr kuni soat 15:00 da Rossotrudnichestvoning O‘zbekistondagi vakolatxonasi rahbari Irina Staroselskaya ishtirokida matbuot anjumani bo‘lib o‘tadi.Tadbirda tashkilot oldiga qo‘yilgan vazifalar, ta’lim va madaniy dasturlar, Rossiya-O‘zbekiston hamkorligi istiqbollari haqida so‘z yuritiladi."
Jamiyat,Toshkentda zo‘ravonlikka qarshi 16 kunlik faol harakat kampaniyasi boshlandi,Kampaniya Xalqaro ayollarga nisbatan zo‘ravonlikka qarshi kurash kuni munosabati bilan o‘tkazilmoqda.,"Toshkentda ""Zo‘ravonlikka qarshi 16 kunlik faol harakat"" global kampaniyasi boshlandi, deya xabar berdi Ijtimoiy himoya milliy agentligi.“25 noyabrdan boshlab Toshkentda ""Zo‘ravonlikka qarshi 16 kunlik faol harakat"" global kampaniyasi boshlandi.  Bu tashabbus Xalqaro ayollarga nisbatan zo‘ravonlikka qarshi kurash kuni munosabati bilan o‘tkaziladi”, — deyiladi xabarda.Qayd etilishicha, bu kampaniya ayollar va bolalarga nisbatan zo‘ravonlikka barham berish uchun jamiyatning barcha qatlamlari sa’y-harakatlarini birlashtirish zarurligini eslatadi.“Ijtimoiy himoya milliy agentligi ushbu muhim tashabbusni qo‘llab-quvvatlash maqsadida o‘z logotipini olov rangga o‘zgartirdi. Olov rangi — umid, yorug‘lik va zo‘ravonliksiz kelajak ramzi”, — deya qo‘shimcha qilingan agentlik xabarida.Xabarda agentlik fuqarolarni ushbu aksiyani qo‘llab-quvvatlash, muammoga e’tibor qaratish va birdamlikni namoyish etishga chaqirgan.BMT ma’lumotlariga ko‘ra, dunyo bo‘ylab har kuni 140 nafar ayol va qiz o‘z jufti yoki yaqin qarindoshi tomonidan o‘ldirilmoqda, ya’ni har 10 daqiqa ichida oiladagi zo‘ravonlik oqibatida bir ayol vafot etadi. 2023-yilda dunyo bo‘ylab 85 ming ayol va qiz qasddan odam o‘ldirish qurboni bo‘ldi.Ma’lumot uchun, zo‘ravonlikdan jabrlangan shaxslar uchun yordam: 102 qisqa raqamiga yoki 1146 ishonch telefoniga murojaat qilish mumkin."
Iqtisod,Xitoy banki Toshkentda vakolatxona ochdi,"Toshkentdagi mintaqaviy ofis bankning O‘zbekiston, Qozog‘iston, Qirg‘iziston, Tojikiston, Turkmaniston, Ozarbayjon, Armaniston va Gruziyadagi faoliyatini yuritadi.","Xitoyning Eksport-import banki (Eksim bank) Toshkentda mintaqaviy vakolatxonasini ochdi, deya xabar berdi Investitsiyalar, sanoat va savdo vazirligi matbuot xizmati.Toshkentda Xitoy Eksport-import banki vakolatxonasining tantanali ochilish marosimi bo‘lib o‘tdi.“Toshkentda Xitoy Eksim bankining vakolatxonasining ochilishi strategik sheriklikni yanada rivojlantirish yo‘lidagi muhim qadam bo‘lib, ijtimoiy ahamiyatga molik loyihalarni birgalikda amalga oshirish imkonini berishi va O‘zbekiston-Xitoy iqtisodiy hamkorligi salohiyatini to‘liq ochishga xizmat qiladi”, — deyiladi xabarda.Toshkentdagi mintaqaviy ofis bankning 8 ta davlat, jumladan, O‘zbekiston, Qozog‘iston, Qirg‘iziston, Tojikiston, Turkmaniston, Ozarbayjon, Armaniston va Gruziyadagi faoliyatini yuritadi.Qayd etilishicha, Eksim bankning doimiy yordami tufayli mamlakatda kimyo sanoati, energetika, transport, axborot texnologiyalari, qishloq va suv xo‘jaligi kabi muhim tarmoqlarda umumiy qiymati 3 milliard dollardan ortiq bo‘lgan 50dan ko‘proq loyiha amalga oshirildi.Ma’lumot uchun, Xitoy Eksim banki (China Exim Bank / The Export-Import Bank of China) 1994-yilda tashkil etilgan. Bankning Xitoyda 32 ta filiali va Gonkongda vakolatxonasi bor. Bundan tashqari, bankning Parijda vakolatxonalari va Janubiy, Sharqiy, Shimoliy va G‘arbiy Afrika, Janubiy Amerika hamda Rossiyada vakolatxonalari mavjud."
O‘zbekiston va YeOII,YeIK: YeOIIda tabiiy monopoliyalar bo‘yicha meyorlarga rioya etilishi nazorat qilinadi,Tabiiy monopoliyalar bo‘yicha maslahat qo‘mitasining 29-yig‘ilishi bo‘lib o‘tdi.,"Yevroosiyo iqtisodiy komissiyasi (YeIK) 2025-yilda tabiiy monopoliyalarga oid Yevroosiyo iqtisodiy ittifoqi (YeOII) to‘g‘risidagi shartnoma qoidalarining bajarilishini monitoring qiladi, deb xabar berdi YeIK matbuot xizmati.Bunday qaror YeIK energetika va infratuzilma vaziri Arzibek Kojoshev raisligida bo‘lib o‘tgan Tabiiy monopoliyalar bo‘yicha maslahat qo‘mitasining 29-yig‘ilishida qabul qilindi.Yig‘ilish ishtirokchilari miqdoriy va sifat ko‘rsatkichlaridan foydalangan holda monitoring o‘tkazish bo‘yicha birgalikdagi harakatlarning umumiy formati va algoritmini tasdiqladi.Ulardan YeOII to‘g‘risidagi shartnomaga muvofiq tabiiy monopoliyalar faoliyatini tartibga solishda Ittifoq mamlakatlari tomonidan boshqariladigan tamoyillarga rioya etilishini baholash uchun foydalaniladi.“Tahlil natijalaridan nafaqat tabiiy monopoliyalarni tartibga solish sohalarini yanada uyg‘unlashtirish bo‘yicha taklif va tavsiyalar ishlab chiqishda, balki besh davlatning meyoriy-huquqiy hujjatlarini ehtimoliy yangilash maqsadida ham foydalanish rejalashtirilgan”, — deyiladi xabarda.Maslahat qo‘mitasi tomonidan tabiiy monopoliyalar bo‘yicha tahliliy hisobot tuzilmasi tasdiqlandi. Ular hujjatni 2025-yilning birinchi yarmida Oliy Yevroosiyo iqtisodiy kengashiga taqdim etishni rejalashtirmoqda.Tomonlar, shuningdek, Yevroosiyo iqtisodiy ittifoqi davlatlarining tabiiy monopoliyalar sohasidagi qonunchiligini muvofiqlashtirish bo‘yicha kelgusidagi ishlarni muhokama qilishdi. Ularga aniqlik kiritish uchun YeOII to‘g‘risidagi shartnomaga o‘zgartirishlar kiritilishi mumkin.Tabiiy monopoliya — tovar bozoridagi holat. Unda texnologik hususiyatlarga ko‘ra ishlab chiqarish xarajatlari ortib ketishi munosabati bilan muayan turdagi tovarlarga (ishlarga, xizmatlarga) bo‘lgan talabni qondirishning raqobatga asoslangan sharoitni yaratib bo‘lmaydi yoki bunday sharoitni yaratish iqtisodiy jihatdan maqsadga muvofiq emas."
Dunyo yangiliklari,JSST maymun chechagiga qarshi ikkinchi vaksinani tasdiqladi,"Ishlab chiqarilgan yangi vaksinani nafaqat kattalar, balki bir yoshdan oshgan bolalar ham qabul qilishi mumkin.","Jahon sog‘liqni saqlash tashkiloti (JSST) maymun chechagiga qarshi ikkinchi vaksinani tasdiqladi. Uni bolalarda ham qo‘llash mumkin, deb yozmoqda O‘zbekiston Sog‘liqni saqlash vazirligi matbuot xizmati.Tashkilot maymun chechagi (mpox) virusiga qarshi yaratilgan ikkinchi vaksinani tasdiqladi. Yaponiyaning “KM Biologics” kompaniyasi tomonidan ishlab chiqilgan ushbu emlash vositasi “LC16m8” deb nomlanadi.Qayd etilishicha, shu yil sentabr oyida foydalanish uchun ruxsat etilgan Daniyaning “Bavarian Nordic A/S” kompaniyasiga tegishli “MVA-BN” nomli ilk emlash preparati 18 yoshdan oshganlarda qo‘llashga mo‘ljallangan edi.“Ishlab chiqarilgan yangi vaksinani esa nafaqat kattalar, balki bir yoshdan oshgan bolalar ham favqulodda holatlarda qabul qilishi mumkin”, — deyiladi xabarda.JSST bayonotida aytilishicha, Yaponiya hukumati maymun chechagi epidemiyasi avj olgan Kongo Demokratik Respublikasiga ushbu vaksinadan 3 million dozasini beg‘araz yordam sifatida yetkazib berishga qaror qilgan.Eslatib o‘tamiz, sentabr oyida dunyo bo‘yicha mpox infeksiyasiga chalinish holatlari rekord darajaga yetib, 2763 ta yangi kasallanish holati ro‘yxatga olingan edi. Aniqlangan bemorlarning asosiy qismi Afrika mintaqasi aholisi hissasiga to‘g‘ri keladi."
Siyosat,Minskda MDH mamlakatlari Doimiy vakillari uchrashadi — tafsilotlar,Kengash ishtirokchilari 7 ta masalani ko‘rib chiqishadi.,"Minsk shahrida 28-noyabr kuni Mustaqil Davlatlar Hamdo‘stligi (MDH) mamlakatlari Doimiy vakillari kengashining navbatdagi yig‘ilishi bo‘lib o‘tadi. Bu haqda MDH Ijroiya qo‘mitasi matbuot xizmati xabar berdi.Qayd etilishicha, ishtirokchilar 7 ta masalani ko‘rib chiqishadi. MDHga a’zo davlatlar Ichki ishlar vazirlari kengashining 2020–2023 yillardagi faoliyati to‘g‘risidagi axborotni eshitiladi.MDHga a’zo davlatlarning Gumanitar hamkorlik bo‘yicha kengashining 2019–2023 yillardagi faoliyatini tahlil qiladi. Ishtirokchilar MDH Delfi o‘yinlari va 2030-yilgacha bo‘lgan davrda loyihani amalga oshirish istiqbollari haqidagi ma’lumotlar bilan tanishadi.Qolaversa, yig‘ilishda 2025-yil 26-yanvarda bo‘lib o‘tadigan Belarus Respublikasi prezidenti saylovida MDH kuzatuvchilari missiyasi rahbari nomzodini kelishib olinadi."
Rossiyaning Donbassdagi maxsus harbiy operatsiyasi ,Ukraina askari mashg‘ulotlardan bir hafta o‘tib qanday qilib asirga tushganini aytib berdi,Ukraina askari Voloshin mashg‘ulotlardan bir hafta o‘tib Kuraxovo yaqinida asirga tushdi.,"Ukrainalik harbiy xizmatchi Denis Voloshinning RIA Novostiga aytishicha, u yosh jangchi kursini tamomlaganidan bir hafta o‘tib asirga tushgan.Voloshin 1990-yilda tug‘ilgan. U 16-avgust kuni Krivoy Rogda safarbar qilingan. U Kuraxovo yo‘nalishida asirga olingan.“17 avgust kuni meni mashg‘ulotlarga olib kelishdi... 21-sentabrda mashg‘ulotlardan olib ketishdi, 28-da asirga olishdi... kechqurun biz bilan tanishish uchun rota komandiri keldi. U tanishdi va dedi: ""Ertaga 3 ta odam joyiga chiqishi kerak"", dedi. Ammo u bu nolga teng bo‘lishini aytmadi”, — dedi agentlik suhbatdoshi.Uning so‘zlariga ko‘ra, o‘quv bo‘limidan 9 kishi olib ketilgan, bir kishi Novopavlovkada qochib ketgan."
Jamiyat,Qohira universiteti O‘zbekistonda filial ochishi mumkin,Misr tomoni Qohira universiteti kutubxonasida o‘zbek tili va adabiyoti burchagini tashkil etish taklifini qo‘llab quvvatladi.,"Qohira universiteti kutubxonasida o‘zbek tili va adabiyoti burchagi tashkil etiladi, deya xabar berdi ""Dunyo"" AA.O‘zbekistonning Misrdagi elchixonasi rahbariyati Qohira universitetining yangi tayinlangan rektori professor Muhammad Somiy Abdulsodiq bilan uchrashdi.Muloqotda Qohira universiteti va Toshkent davlat sharqshunoslik universiteti o‘rtasida yaqindan hamkorlik aloqalarini o‘rnatish hamda o‘zbek tilini o‘rganayotgan misrlik talabalarni qo‘llab-quvvatlashga alohida e’tibor qaratildi.“Misr tomoni Qohira universiteti kutubxonasida o‘zbek tili va adabiyoti burchagini tashkil etish taklifini qo‘llab quvvatladi”, — deyiladi xabarda.Quyidagi masalalar muhokama etildi:o‘zbek va arab tili o‘qituvchilari hamda o‘zaro talabalar almashish O‘zbekistonda Qohira universiteti filialini tashkil etish hamkorlikda darsliklar tayyorlash.Rektor Muhammad Somiy Abdulsodiq Qohira universitetida 2025-yil fevral oyida bo‘lib o‘tadigan Adabiyot va madaniyat yarmarkasida ishtirok etish uchun O‘zbekiston vakillarini taklif etdi.Qohira universiteti 1908-yilda tashkil etilgan. Bu Al-Azhar universitetidan keyin Yaqin Sharqdagi ikkinchi yirik universitetdir. Universitetda 20 taga yaqin fakultet, bir qator ilmiy markazlar ham mavjud."
Siyosat,Tanzila Narbayeva Sankt-Peterburgda kimlar bilan uchrashdi?,Senat raisi tashrif doirasida Qozog‘iston va Rossiya parlament palatalari rahbarlari bilan uchrashuvlar o‘tkazdi.,"Oliy Majlis Senati raisi Tanzila Narbayeva Sankt-Peterburgda Rossiya Federatsiyasi Federal Majlisi Federatsiya Kengashi raisi Valentina Matviyenko hamda Qozog‘iston Parlamenti Senati raisi Maulen Ashimbayev bilan uchrashdi, deya xabar berdi O‘zbekiston yuqori palatasi matbuot xizmati.Qayd etilishicha, uchrashuvlarda Matviyenko hamda Ashimbayev Narbayevani Senat raisi lavozimiga saylangani bilan tabriklab, kelgusidagi faoliyatiga muvaffaqiyatlar tiladi.""Muloqot chog‘ida O‘zbekiston parlamenti bilan aloqalarni yangi mazmun bilan boyitish, oliy darajada erishilgan kelishuvlarni amalga oshirish, hududiy vakillik organlari o‘rtasida samarali muloqotni yo‘lga qo‘yish bo‘yicha zarur choralarni ko‘rishga e’tibor qaratildi"", — deyiladi xabarda.Shuningdek, MDH davlatlari Parlamentlararo Assambleyasi kun tartibidagi muhim vazifalar ijrosi hamda parlamentlararo aloqalarni rivojlantirish masalalari ham muhokama qilindi.Federatsiya Kengashi raisi o‘z so‘zida MDH PA platformasidagi o‘zbekistonlik parlamentariylarning an’anaviy faolligini alohida qayd etdi.Tanzila Narboyeva Parlamentlararo assambleya tomonidan o‘tkazilayotgan tadbirlar yuqori saviyada tashkil etilganini aytib, O‘zbekiston tomoni ko‘p tomonlama tashabbuslarni, jumladan, “Xotira poyezdi” madaniy-ma’rifiy loyihasini samarali amalga oshirishdan manfaatdor ekanini ta’kidladi.Shuningdek, u parlament a’zolarini mamlakatlar va mintaqalar o‘rtasidagi hamkorlikni rivojlantirish maqsadida imzolangan ikki tomonlama shartnomalarni ko‘rib chiqishni taklif qildi."
